Identifier,Title#1,Description#1,Description Type#1,Description#2,Description Type#2,Description#3,Description Type#3,Subject#1,Subject Type#1,Subject#10,Subject Type#10,Subject#11,Subject Type#11,Subject#12,Subject Type#12,Subject#13,Subject Type#13,Subject#14,Subject Type#14,Subject#15,Subject Type#15,Subject#16,Subject Type#16,Subject#17,Subject Type#17,Subject#18,Subject Type#18,Subject#19,Subject Type#19,Subject#2,Subject Type#2,Subject#3,Subject Type#3,Subject#4,Subject Type#4,Subject#5,Subject Type#5,Subject#6,Subject Type#6,Subject#7,Subject Type#7,Subject#8,Subject Type#8,Subject#9,Subject Type#9,Source#1,Creator#1,Creator Type#1,Contributor#1,Contributor Type#1,Contributor#2,Contributor Type#2,Contributor#3,Contributor Type#3,Contributor#4,Contributor Type#4,Contributor#5,Contributor Type#5,Contributor#6,Contributor#7,Rights,Date#1,Format Medium#1,Format Media Type#1,Language#1,Language#2,Language#3,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME
narv_#23Mekas4-30-74_2,Stan Brakhage and Jonas Mekas - Part 2,Continues 'Stan Brakhage and Jonas Mekas - Part 1.' Jonas Mekas describes a review of experimental film. He discusses grants for films. He compares experimental and commercial films. Mekas talks about narratives in film and what techniques he looks for in films. He describes different forms of art and how they relate to film as an art.,Abstract,00:00 Jonas Mekas begins 12:12 Mekas ends 12:13 Questions from the audience begin 30:08 End,SegmentSequence,Course title: Document in Film - The School of the Art Institute of Chicago,Venue,"Mekas, Jonas, 1922-",naf,,,,,,,,,,,,,,,,,,,,,Artists,lcsh,Experimental films,lcsh,Independent filmmakers -- United States -- Interviews,lcsh,Art and motion pictures,lcsh,Filmmaking (Motion pictures),lcsh,Motion picture industry -- United States,lcsh,,,,,narv_#23Mekas4-30-74_2,"Brakhage, Stan",naf,"Mekas, Jonas, 1922-",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,4/30/1974,audio/mp3,Sound,English,,,1095336,4606,%2323+Mekas++4-30-74+-2.jpg
narv_#24ReifenstahlReel1,Stan Brakhage on Leni Riefenstahl - Reel 1,"Stan Brakhage shows his film 'Blue Moses' and answers questions about it. He describes Leni Riefenstahl's film 'Triumph of the Will.' He tells a story about John Grierson and 'Triumph of the Will.' Brakhage describes Riefenstahl's opinion on Adolf Hitler. He analyzes the word ""myth."" Brakhage tells a story about Hitler and his dog. He gives a brief biography of Riefenstahl and of Hitler. Brakhage describes Riefenstahl's attempt to make a film about Penthesilea. He describes his first showing of Riefenstahl's films. Brakhage gives his opinion about fascism and religion. Continued on 'Stan Brakhage on Leni Riefenstahl - Reel 2.'",Abstract,00:15 Stan Brakhage begins 09:27 Brakhage ends 09:43 Audio clip begins 10:05 Audio clip ends 10:20 Questions from the audience begin 25:21 Questions from the audience end 25:22 Brakhage begins 35:59 Brakhage ends 36:01 Questions from the audience begin 38:21 Questions from the audience end 38:22 Brakhage begins 1:17:20 Brakhage ends 1:17:21 Questions from the audience begin 1:25:43 Questions from the audience end 1:25:42 Brakhage begins 1:36:15 End,SegmentSequence,Course title: Document in Film - The School of the Art Institute of Chicago,Venue,Motion pictures -- Production and direction,lcsh,Filmmaking (Motion pictures),lcsh,"Riefenstahl, Leni",naf,,,,,,,,,,,,,,,,,"Grierson, John, 1898-1972",naf,"Brakhage, Stan",naf,Blue Moses (Motion picture),,Mythology,lcsh,Triumph of the will (Motion picture),lcsh,"Hitler, Adolf, 1889-1945",naf,"Penthesilea, Queen of the Amazons",naf,Nazis in motion pictures,lcsh,narv_#24ReifenstahlReel1,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,12/10/1973,audio/mp3,Sound,English,,,1086065,4606,%2324+Reifenstahl+reel+1.jpg
narv_#25ReifenstahlReel2,Stan Brakhage on Leni Riefenstahl - Reel 2,Continues 'Stan Brakhage on Leni Riefenstahl - Reel 1.' Stan Brakhage describes the complicated nature of German machinery. He describes some of the difficult filming sequences in Leni Riefenstahl's film 'Olympia.' Brakhage reads some quotes of Riefenstahl's and then describes the relationship between Riefenstahl and Joseph Goebbels. Brakhage plays 'Triumph of the Will' and answers questions about the film and about Nazi Germany. He compares the Hippie movement to the Nazi movement.,Abstract,00:00 Stan Brakhage begins 21:03 Brakhage ends 21:04 Clip from film begins 21:36 Clip from film ends 21:43 Brakhage begins 22:46 Brakhage ends 22:47 Questions from the audience begin 47:48 End,SegmentSequence,Course title: Document in Film - The School of the Art Institute of Chicago,Venue,Motion pictures -- Production and direction,lcsh,"Goebbels, Joseph, 1897-1945",naf,,,,,,,,,,,,,,,,,,,National socialism -- Germany,lcsh,Nazis in motion pictures,lcsh,Nazis -- Psychology,lcsh,Hippies -- 1960-1970,lcsh,Filmmaking (Motion pictures),lcsh,"Riefenstahl, Leni",naf,Triumph of the will (Motion picture),lcsh,"Riefenstahl, Leni. Olympia",lcsh,narv_#25ReifenstahlReel2,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,12/10/1973,audio/mp3,Source,English,,,1086067,4606,%2325+Reifenstahl+reel+2.jpg
narv_#2Defense1960s,Sound recording of aircraft,"A clip of a radar picking up propeller modulation plays. A clip of an 'overloaded' radar plays. Speaker 1 plays clips of vehicles moving on the ground, a Doppler with constant pitch, and a 'chopped up' Doppler. The speaker plays clips of planes with an airborne interceptor and with the conical scan off. A clips of a B-29, a B-26, and an F-51 are played. A clip plays of aircraft taking off from an airport. A clips of an F3D jet and a C-45 play. Speaker 1 describes how to distinguish between airplanes and chaff and plays a clip to demonstrate.",Abstract,00:00 Speaker 1 begins 01:10 Speaker 1 ends 01:11 Audio clip begins 01:34 Audio clip ends 01:36 Speaker 1 begins 01:41 Speaker 1 ends 01:42 Audio clip begins 01:50 Audio clip ends 01:52 Speaker 1 begins 02:02 Speaker 1 ends 02:03 Audio clip begins 02:14 Audio clip ends 02:16 Speaker 1 begins 02:36 Speaker 1 ends 02:37 Audio clip begins 03:04 Audio clip ends 03:06 Speaker 1 begins 03:12 Speaker 1 ends 03:13 Audio clip begins 03:25 Audio clip ends 03:27 Speaker 1 begins 03:35 Speaker 1 ends 03:36 Audio clip begins 03:50 Audio clip ends 03:51 Speaker 1 begins 04:43 Speaker 1 ends 04:44 Audio clip begins 05:11 Audio clip ends 05:12 Speaker 1 begins 05:38 Speaker 1 ends 05:39 Audio clip begins 06:12 Audio clip ends 06:13 Speaker 1 begins 06:47 Speaker 1 ends 06:48 Audio clip begins 07:11 Audio clip ends 07:12 Speaker 1 begins 07:20 Speaker 1 ends 07:21 Audio clip begins 07:36 Audio clip ends 07:37 Speaker 1 begins 08:18 Speaker 1 ends 08:19 Audio clip begins 08:21 Audio clip ends 08:22 Speaker 1 begins 08:28 Speaker 1 ends 08:29 Audio clip begins 08:36 Audio clip ends 08:37 Speaker 1 begins 08:43 Speaker 1 ends 08:44 Audio clip begins 09:27 Audio clip ends 09:29 Speaker 1 begins 09:47 Speaker 1 ends 09:48 Audio clip begins 10:02 Audio clip ends 10:05 Speaker 1 begins 10:08 Speaker 1 ends 10:09 Audio clip begins 10:23 Audio clip ends 10:25 Speaker 1 begins 11:03 Speaker 1 ends 11:04 Audio clip begins 11:27 Audio clip ends 11:28 Speaker 1 begins 11:31 Speaker 1 ends 11:32 Audio clip begins 11:38 Audio clip ends 11:40 Speaker 1 begins 11:59 Speaker 1 ends 12:00 Audio clip begins 13:37 Audio clip ends 13:38 Speaker 1 begins 13:50 Speaker 1 ends 13:51 Audio clip begins 14:50 Audio clip ends 14:54 Speaker 1 begins 15:17 Speaker 1 ends 15:18 Audio clip begins 15:30 End,SegmentSequence,,,Doppler radar,lcsh,,,,,,,,,,,,,,,,,,,,,"Airplanes, Military",lcsh,Sound recording -- 1950-1960,lcsh,,,,,,,,,,,,,narv_#2Defense1960s,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1095315,4606,%232+Defense+1960s.jpg
narv_#3Unglassed1953,Sound recording: Unglassed,Some discordant music plays. A man can be heard counting in the background. The man often interrupts the music in order to talk to the musicians. A clip from a German opera plays.,Abstract,00:00 Audio clip begins 031:27 End,SegmentSequence,,,Music -- United States -- 20th century,lcsh,,,,,,,,,,,,,,,,,,,,,Avant-garde (Music) -- United States,lcsh,Music rehearsals,lcsh,,,,,,,,,,,,,narv_#3Unglassed1953,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,,,,1095314,4606,%233+Unglassed+%EF%80%A31953.jpg
narv_#4Shadow1954,Soundtrack to the Brakhage film 'The Way to Shadow Garden',The soundtrack to Stan Brakhage's 'The Way to Shadow Garden' plays.,Abstract,00:00 'The Way to Shadow Garden' begins 11:43 End,SegmentSequence,,,Film soundtracks,lcsh,,,,,,,,,,,,,,,,,,,,,Sound in motion pictures,lcsh,Way to Shadow Garden (Motion picture),,,,,,,,,,,,,,narv_#4Shadow1954,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,,,,1095316,4606,%234+Shadow+%EF%80%A31954.jpg
narv_#50-10LectureWells2TouchOfEvil,Stan Brakhage on Orson Welles #2 - Touch of Evil,"Stan Brakhage analyzes some of Orson Welles' works, as well as his personality and his personal life. He discusses Welles' collaborations with Rita Hayworth. Throughout the lecture he notes the influence of the Bible and Shakespeare on Welles. He discusses 'Touch of Evil' and its significance to Welles. Brakhage talks about Welles' use of Renaissance perspective and architecture in his films.",Abstract,00:10 Brakhage begins 1:08:32 Brakhage ends 1:08:33 Questions from the audience begin 1:18:24 Questions from the audience end 1:18:25 Brakhage begins 1:23:17 End,SegmentSequence,Course title: History of Narrative Film (Narrative as Religion) - The School of the Art Institute of Chicago,Venue,"Welles, Orson, 1915-1985",naf,,,,,,,,,,,,,,,,,,,,,Touch of evil (Motion picture),lcsh,Motion pictures and literature -- United States,lcsh,Motion pictures -- Production and direction -- United States,lcsh,,,,,,,,,,,narv_#50-10LectureWells2TouchOfEvil,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,2/12/1973,audio/mp3,Sound,English,,,1086071,4606,%2350-10+lecture+Wells+%232+Touch+of+Evil.jpg
narv_#50-11LectureWells1CitizenKane,Stan Brakhage on Orson Welles #1 - Citizen Kane,"Stan Brakhage discusses his qualms with art museums and mentions other developments about art in the U.S. He discusses Orson Welles' early life and career and notes the influence of Shakespeare and the Bible on Welles' work. Then Brakhage discusses Welles' move to Hollywood and the creation of 'Citizen Kane.' He argues that Welles is attempting to create the childhood that he never had through film, particularly through 'The Magnificent Ambersons,' and how Welles uses his films to portray the major male role models in his life. Finally, Brakhage mentions Welles' use of the vanishing point.",Abstract,00:00 Brakhage begins 1:00:40 Brakhage ends 1:00:41 Questions from the audience begin 1:08:59 Questions from the audience end 1:09:00 Brakhage begins 1:19:40 End,SegmentSequence,Course title: History of Narrative Film (Narrative as Religion) - The School of the Art Institute of Chicago,Venue,"Welles, Orson, 1915-1985",naf,,,,,,,,,,,,,,,,,,,,,Art -- United States -- 20th century,lcsh,Art museums -- United States,lcsh,Citizen Kane (Motion picture),lcsh,Magnificent Ambersons (Motion picture),lcsh,Children in motion pictures,lcsh,,,,,,,narv_#50-11LectureWells1CitizenKane,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1/29/1973,audio/mp3,Sound,English,,,1086073,4606,%2350-11+lecture+Wells+%231+Citizen+Kane.jpg
narv_#50-12LectureAnger#1Beginning,Stan Brakhage on Kenneth Anger #1 - Part 1,"Stan Brakhage discusses Maya Deren and her relationship to her father. He discusses what a narrative is. Brakhage notes the relationship between art and religion. He recalls his personal encounters with Deren and Kenneth Anger and how magic influenced Deren and Anger. Brakhage describes Anger's childhood works. He also describes Anger's parents, his early obsession with fire, and his opposition to organized religion. Brakhage then analyzes Anger's film 'Fireworks' and plays the film. The lecture is cut off at the end. Continued on 'Stan Brakhage on Kenneth Anger #1 - Part 2.'",Abstract,00:08 Questions from the audience begin 14:03 Questions from the audience end 14:04 Brakhage begins 1:04:24 Brakhage ends 1:04:26 Questions from the audience begin 1:38:25 End,SegmentSequence,Course title: History of Narrative Film (Narrative as Religion) - The School of the Art Institute of Chicago,Venue,"Deren, Maya",naf,,,,,,,,,,,,,,,,,,,,,"Anger, Kenneth",naf,Art & religion,lcsh,Fireworks (Motion picture : 1947),,Homosexuality in motion pictures,lcsh,,,,,,,,,narv_#50-12LectureAnger#1Beginning,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,3/12/1973,audio/mp3,Sound,English,,,1086075,4606,%2350-12+lecture+Anger+%231+beginning.jpg
narv_#50-13LectureAnger#1Conclusion,Stan Brakhage on Kenneth Anger #1 - Part 2,"Continues 'Stan Brakhage on Kenneth Anger #1 - Part 1.' Brakhage concludes his analysis of 'Fireworks.' He presents a timeline of Anger's life leading up to 'Puce Moment.' Brakhage paraphrases some stories from Anger's book 'Hollywood Babylon.' He explains his definition of ""stories."" Brakhage has a discussion on how religions began as a coping mechanism for death, and he notes Anger's view of Christianity. Brakhage defines black and white magic and notes Anger's involvement in magical circles.",Abstract,00:00 Brakhage begins 17:00 Brakhage ends 17:01 Questions from the audience begin 25:22 Questions from the audience end 25:23 Brakhage begins 55:02 End,SegmentSequence,Course title: History of Narrative Film (Narrative as Religion) - The School of the Art Institute of Chicago,Venue,"Anger, Kenneth",naf,,,,,,,,,,,,,,,,,,,,,Art & religion,lcsh,Fireworks (Motion picture : 1947),,Hollywood Babylon (Motion picture : 1972),,Magic,lcsh,,,,,,,,,narv_#50-13LectureAnger#1Conclusion,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,3/12/1973,audio/mp3,Sound,English,,,1086077,4606,%2350-13+lecture+Anger+%231+conclusion.jpg
narv_#50-14LectureOnHarrySmith,Stan Brakhage on Harry Smith,"Stan Brakhage describes Harry Smith's personality and upbringing. He notes how both he and Smith were raised with movies. Brakhage describes Smith's introduction into filmmaking as well as his films. He describes Smith's techniques and intentions for filmmaking. Brakhage shows Smith's 'Heaven and Earth Magic Feature' and provides commentary during the showing. He mentions how he and Jonas Mekas tried to preserve Smith's films. Throughout the lecture, Brakhage notes Smith's similarities with Kenneth Anger. Finally, Brakhage recalls some stories involving Smith.",Abstract,00:00 Questions from the audience begin 18:25 Questions from the audience end 18:26 Brakhage begins 52:52 Brakhage ends 52:53 Questions from the audience begin 1:00:24 Questions from the audience end 1:00:25 Clip from film begins 1:08:23 Clip from film ends 1:08:24 Questions from the audience begin 1:23:01 Questions from the audience end 1:23:02 Brakhage begins 1:45:51 Brakhage ends 1:45:52 Questions from the audience begin 1:52:05 End,SegmentSequence,Course title: History of Narrative Film (Narrative as Religion) - The School of the Art Institute of Chicago,Venue,"Anger, Kenneth",naf,,,,,,,,,,,,,,,,,,,,,Heaven and Earth Magic Feature (Motion picture),,"Smith, Harry Everett, 1923-1991",naf,Filmmaking (Motion pictures),lcsh,,,,,,,,,,,narv_#50-14LectureOnHarrySmith,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,4/30/1973,audio/mp3,Sound,English,,,1086079,4606,%2350-14+lecture++on+Harry+Smith.jpg
narv_#50-15LectureIvensWrightHustonMitry,Stan Brakhage on his films and other fimmakers,"Stan Brakhage states that he is not a ""big shot."" He argues that when people view art, they should not ask ""What does it mean?"" but ""What is it?"" Brakhage describes the process of making his film 'The Horseman, the Woman, and the Moth.' He discusses bias within films. Brakhage explains how Basil Wright made 'Song of Ceylon' and shows it to the audience. He also analyzes Ralph Steiner's 'H2O' and Robert Gardner's 'Dead Birds.' Brakhage ends with an analysis John Huston's 'The Battle of San Pietro.'",Abstract,00:16 Questions from the audience begin 35:14 Questions from the audience end 35:15 Brakhage begins 45:32 Brakhage ends 46:26 Brakhage begins 59:21 Brakhage ends 59:22 Questions from the audience begin 1:21:17 End,SegmentSequence,Course title: Document in Film - The School of the Art Institute of Chicago,Venue,Motion pictures -- Production and direction,lcsh,,,,,,,,,,,,,,,,,,,,,"Horseman, the woman and the Moth (Motion picture)",,"Wright, Basil",naf,Song of Ceylon (Motion picture),,H2O (Motion picture : 1929),,Dead birds (Motion picture),lcsh,San Pietro (Motion picture),lcsh,Filmmaking (Motion pictures),lcsh,"Brakhage, Stan",naf,narv_#50-15LectureIvensWrightHustonMitry,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,11/26/1973,audio/mp3,Sound,English,,,1086081,4606,%2350-15+lecture+Ivens-+Wright-Huston-Mitry.jpg
narv_#50-16LectureChristopherMaclaine1,Stan Brakhage on Christopher Maclaine - Part 1,"Stan Brakhage gives his opinions on Christopher Maclaine's films. Brakhage then describes the origins of the Beat Movement in San Francisco. He gives his personal definition of the words ""myth"" and ""story"" and how the two relate to religion. Brakhage shows Maclaine's film 'Beat' and describes some of its strengths. He continues to describe the Beat Movement and its relationship to Maclaine. Brakhage describes Maclaine's personality and recalls his encounters with Maclaine. Finally, Brakhage analyzes 'The Man Who Invented Gold' and 'The End.' Continued on 'Stan Brakhage on Christopher Maclaine - Part 2.'",Abstract,00:00 Brakhage begins 06:50 Brakhage ends 06:51 Questions from the audience begin 08:21 Questions from the audience end 08:22 Brakhage begins 35:37 Brakhage ends 35:38 Questions from the audience begin 1:20:35 Questions from the audience end 1:20:36 Clip from film begins 1:21:44 Clip from film ends 1:21:45 Brakhage begins 1:32:19 Brakhage ends 1:32:20 Questions from the audience begin 1:35:57 End,SegmentSequence,Course title: Comedy/Tragi-comedy in the Film - The School of the Art Institute of Chicago,Venue,"Maclaine, Christopher",naf,,,,,,,,,,,,,,,,,,,,,Beat generation -- California - -San Francisco,lcsh,Beat (Motion picture),,Man Who Invented Gold (Motion picture),,End (Motion picture),,San Francisco (Calif.),lcsh,Counterculture in motion pictures,lcsh,,,,,narv_#50-16LectureChristopherMaclaine1,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,3/13/1972,audio/mp3,Sound,English,,,1086083,4606,%2350-16+lecture+Christopher+Maclain+-1.jpg
narv_#50-16LectureChristopherMaclaine2,Stan Brakhage on Christopher Maclaine - Part 2,Continues 'Stan Brakhage on Christopher Maclaine - Part 1.' Stan Brakhage analyzes the camera movements in the film 'Beat.',Abstract,00:00 Brakhage begins 01:03 End,SegmentSequence,Course title: Comedy/Tragi-comedy in the Film - The School of the Art Institute of Chicago,Venue,Motion pictures -- Production and direction,lcsh,,,,,,,,,,,,,,,,,,,,,"Maclaine, Christopher",naf,Beat (Motion picture),,Filmmaking (Motion pictures),lcsh,,,,,,,,,,,narv_#50-16LectureChristopherMaclaine2,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,3/13/1972,audio/mp3,Sound,English,,,1086085,4606,%2350-16+lecture+Christopher+Maclain+-2.jpg
narv_#50-17LectureSidneyPeterson,Stan Brakhage on Sidney Peterson,"Stan Brakhage argues that people are too focused on the personal lives of artists. Brakhage discusses his early college life at the California School of Fine Arts and his desire to learn about film. He describes the environment in 1945-1946 San Francisco. Brakhage describes how 'The Potted Psalm' was made, plays it, and analyzes it. Brakhage gives a biography of Sidney Peterson. He notes the naïve nature of Peterson's art. Brakhage describes Luis Buñuel's film 'Land Without Bread.' Brakhage reads a passage from 'The Fly in the Pigment.' He concludes with some personal stories about Peterson.",Abstract,00:00 Brakhage begins 25:43 Brakhage ends 25:44 Clip from the film begins (film has no audio) 28:58 Clip from the film ends 28:59 Brakhage begins 48:22 Brakhage ends 48:23 Questions from the audience begin 1:14:18 Questions from the audience end 1:14:19 Brakhage begins 1:36:31 End,SegmentSequence,Course title: Comedy/Tragi-comedy in the Film - The School of the Art Institute of Chicago,Venue,"Peterson, Sidney, 1905-2000",naf,,,,,,,,,,,,,,,,,,,,,"Buñuell, Luis, 1900-1983",naf,Potted Psalm (Motion picture),,Tierra sin pan (Motion picture),lcsh,San Francisco (Calif.) -- 1940-1950,lcsh,"California School of Fine Arts (San Francisco, Calif.)",lcsh,San Francisco Art Institute,lcsh,Filmmaking (Motion pictures),lcsh,,,narv_#50-17LectureSidneyPeterson,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1/31/1972,audio/mp3,Sound,English,,,1086087,4606,%2350-17+lecture+Sidney+Peterson.jpg
narv_#50-18Lecture10-6-75Begin1,Stan Brakhage on Georges Méliès and Jean Cocteau - Part 1,Stan Brakhage discusses his habit of chewing tobacco. He then discusses Georges Méliès and how filmmaking became a commercial business. Brakhage justifies showing a film of epileptic seizure in class and describes how artists either evolve or decay. Brakhage mentions how male-dominated the arts and society are. He tells a story regarding Ezra Pound and Charles Olson. Then Brakhage discusses Jean Cocteau and summarizes Cocteau's film 'Orphée.' Continued on 'Stan Brakhage on Georges Méliès and Jean Cocteau - Part 2.',Abstract,00:00 Brakhage begins 11:37 Brakhage ends 11:38 Questions from the audience begin 43:09 Questions from the audience end 43:10 Brakhage begins 55:02 End,SegmentSequence,"Course title: History of Film: ""I as Eye"" (Film and First Person Singular) - The School of the Art Institute of Chicago",Venue,"Méliès, Georges, 1861-1938",naf,,,,,,,,,,,,,,,,,,,,,Motion picture industry -- United States,lcsh,"Pound, Ezra, 1885-1972",naf,"Olson, Charles, 1910-1970",naf,"Cocteau, Jean, 1889-1963",naf,Orphée (Motion picture),lcsh,Diseases in motion pictures,lcsh,"Brakhage, Stan",naf,,,narv_#50-18Lecture10-6-75Begin1,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,10/6/1975,audio/mp3,Sound,English,,,1086089,4606,%2350-18+lecture+10-6-75+begin1.jpg
narv_#50-19Lecture10-6-75End,Stan Brakhage on Georges Méliès and Jean Cocteau - Part 2,"Continues 'Stan Brakhage on Georges Méliès and Jean Cocteau - Part 1.' Stan Brakhage continues summarizing 'Orphée' and then analyzes Jean Cocteau's desires. He describes how death is depicted in films. Finally, Brakhage discusses how beauty influenced various film artists.",Abstract,00:00 Brakhage begins 05:59 Brakhage ends 06:00 Questions from the audience begin 28:52 End,SegmentSequence,"Course title: History of Film: ""I as Eye"" (Film and First Person Singular) - The School of the Art Institute of Chicago",Venue,"Cocteau, Jean, 1889-1963",naf,,,,,,,,,,,,,,,,,,,,,Orphée(Motion picture),lcsh,Death in motion pictures,lcsh,Motion pictures -- Aesthetics,lcsh,,,,,,,,,,,narv_#50-19Lecture10-6-75End,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,10/6/1975,audio/mp3,Sound,English,,,1086091,4606,%2350-19+lecture+10-6-75+end.jpg
narv_#50-1Dec9-1966,Indian music,Two Indian songs play. The first includes vocals. The second is instrumental.,Abstract,00:00 Audio clip begins 17:40 Audio clip ends 18:00 Audio clip begins 39:29 End,SegmentSequence,,,Music -- India,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,narv_#50-1Dec9-1966,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,12/9/1966,audio/mp4,Sound,,,,1086069,4606,%2350-1++Dec+9%2C+1966.jpg
narv_#50-20Lecture9-23-75Begin,Stan Brakhage on the Méliès brothers and Jean Cocteau - Part 1,"Stan Brakhage criticizes the techniques used in movies. Then he discusses anonymity in filmmaking. Brakhage poses some questions about an anonymous film he has shown and analyzes it from a psychoanalytic perspective. Brakhage discusses the inaccuracies in a book about Georges Méliès and discusses how Méliès got his start in filmmaking. Brakhage also talks about Méliès' brother, Gaston Méliès, who made movies in the U.S. Then, Brakhage provides a short story of Jean Cocteau. Continued on 'Stan Brakhage on the Méliès brothers and Jean Cocteau - Part 2.'",Abstract,00:00 Brakhage begins 56:35 End,SegmentSequence,"Course title: History of Film: ""I as Eye"" (Film and First Person Singular) - The School of the Art Institute of Chicago",Venue,"Méliès, Georges, 1861-1938",naf,,,,,,,,,,,,,,,,,,,,,"Cocteau, Jean, 1889-1963",naf,Filmmaking (Motion pictures),lcsh,Motion pictures -- Psychological aspects,lcsh,"Méliès, Gaston, -1915",naf,,,,,,,,,narv_#50-20Lecture9-23-75Begin,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,9/23/1975,audio/mp3,Sound,English,,,1086095,4606,%2350-20+lecture+9-23-75+begin.jpg
